"Longitude","Latitude","Date","Category","Description"
"-88.2217491","40.1136661","9/21/2013","Theft","Valued at $140"
"-88.2267594","40.1156353","9/21/2013","Theft","Valued at $140"
"-88.2193619","40.1041024","9/20/2013","Theft","Valued at $250"
"-88.2364529","40.1015133","9/09/2013","Theft","Valued at $100"
"-88.2141906","40.0961419","8/20/2013","Theft","Valued at $150"
"-88.2141906","40.0961419","8/20/2013","Theft","Valued at 150"
"-88.2211483","40.1040573","9/27/2013","Theft","Valued at $400"
"-88.2288194","40.1162343","9/27/2013","Theft","Valued at $100"
"-88.226746","40.1157091","9/27/2013","Theft","Valued at $100"
"-88.2273388","40.1098424","9/26/2013","Theft","Valued at $800"
"-88.2364529","40.1015133","9/30/2013","Theft","Valued at $200"
"-88.2214057","40.1060432","10/01/2013","Theft","Valued at $3000"
"-88.2239538","40.1085583","10/01/2013","Theft","Valued at $200"
"-88.2269525","40.1147491","10/02/2013","Theft","Valued at $900"
"-88.2272315","40.1098507","10/05/2013","Theft","Valued at $100"
"-88.2257187","40.1063058","10/10/2013","Theft","Valued at $90"
"-88.2272637","40.1105235","9/30/2013","Theft","Valued at $580"
"-88.2256812","40.108267","10/10/2013","Theft","Valued at $90"
"-88.2301819","40.1042173","10/13/2013","Theft","Valued at $420"
"-88.2260299","40.1143882","10/16/2013","Theft","Valued at $130"
"-88.236461","40.1014928","10/04/2013","Theft","Valued at $470"
"-88.2322741","40.1071264","9/20/2013","Theft","Valued at $300"
"-88.2254505","40.1117133","10/25/2013","Theft","Valued at $300"
"-88.225472","40.1078813","10/23/2013","Theft","Valued at $100"
"-88.2214808","40.0991826","11/16/2013","Theft","Valued at $230"
"-88.2323385","40.1070772","11/20/2013","Theft","Valued at $150"
"-88.2302999","40.1103922","12/19/2013","Theft","Valued at $60"
"-88.2274675","40.1098999","12/20/2013","Theft","Valued at $270"
"-88.2125115","40.0901874","3/10/2014","Theft","Valued at $400"
"-88.2210088","40.1092804","4/18/2014","Theft","Valued at $300"
"-88.228637","40.1066012","4/22/2014","Theft","Valued at $1000"
"-88.2269311","40.1106138","5/02/2014","Theft","Valued at $400"
"-88.2111275","40.0907455","5/24/2014","Theft","Valued at $400"
"-88.2400203","40.1088003","5/26/2014","Theft","Valued at $200"
"-88.2284975","40.1128456","6/09/2014","Theft","Valued at $200"
"-88.2267112","40.1042378","6/11/2014","Theft","Valued at $125"
"-88.2274246","40.109826","7/05/2014","Theft","Valued at $100"
"-88.2240665","40.1115902","7/17/2014","Theft","Valued at $1100"
"-88.2211483","40.1040573","7/30/2014","Theft","Valued at $200"
"-88.2274246","40.112862","7/31/2014","Theft","Valued at $75"
"-88.2207835","40.1126815","8/01/2014","Theft","Valued at $250"
"-88.2237339","40.1049928","8/02/2014","Theft","Valued at $250"
"-88.2371235","40.1314606","8/01/2012","Theft","Valued at $100"
"-88.2831502","40.1095224","8/02/2012","Theft","Valued at $25"
"-88.2336903","40.112263","8/02/2012","Theft","Valued at $75"
"-88.2927418","40.1111389","8/03/2012","Theft","Valued at $200"
"-88.2316089","40.1136005","8/02/2012","Theft","Valued at $400"
"-88.2379818","40.1099984","8/04/2012","Theft","Valued at $50"
"-88.2624006","40.1248487","8/05/2012","Theft","Valued at $140"
"-88.2496977","40.1281629","8/05/2012","Theft","Valued at $50"
"-88.2622719","40.1209436","8/10/2012","Theft","Valued at $1"
"-88.2805967","40.1131328","8/11/2012","Theft","Valued at $100"
"-88.2422733","40.1171204","8/12/2012","Theft","Valued at $1"
"-88.2532167","40.1180393","8/06/2012","Theft","Valued at $295"
"-88.2387972","40.1091122","8/13/2012","Theft","Valued at $120"
"-88.2328212","40.1269734","8/12/2012","Theft","Valued at $20"
"-88.2400417","40.1073889","8/15/2012","Theft","Valued at $200"
"-88.2928276","40.112222","8/18/2012","Theft","Valued at $150"
"-88.2913792","40.0896128","8/19/2012","Theft","Valued at $200"
"-88.2912934","40.0896949","8/19/2012","Theft","Valued at $300"
"-88.2453418","40.1086444","8/19/2012","Theft","Valued at $550"
"-88.2436413","40.1162384","8/21/2012","Theft","Valued at $20"
"-88.2348838","40.1127615","8/14/2012","Theft","Valued at $50"
"-88.2504085","40.0885006","8/17/2012","Theft","Valued at $87"
"-88.241694","40.1104907","8/27/2012","Theft","Valued at $1"
"-88.231625","40.1143225","8/26/2012","Theft","Valued at $100"
"-88.2290286","40.1159266","8/26/2012","Theft","Valued at $100"
"-88.2407713","40.116784","8/28/2012","Theft","Valued at $300"
"-88.2392907","40.1164045","8/28/2012","Theft","Valued at $100"
"-88.2382017","40.1064289","8/17/2012","Theft","Valued at $1"
"-88.2808757","40.1008732","8/29/2012","Theft","Valued at $200"
"-88.249805","40.127318","8/11/2012","Theft","Valued at $150"
"-88.2328025","40.1133851","8/30/2012","Theft","Valued at $400"
"-88.2303214","40.1148558","8/31/2012","Theft","Valued at $25"
"-88.2384431","40.1274533","8/31/2012","Theft","Valued at $200"
"-88.2435232","40.1182423","8/14/2012","Theft","Valued at $1,300"
"-88.250792","40.1403356","8/30/2012","Theft","Valued at $100"
"-88.2532704","40.1254722","9/04/2012","Theft","Valued at $100"
"-88.2367051","40.1103184","8/30/2012","Theft","Valued at $361"
"-88.2366192","40.1103184","8/27/2012","Theft","Valued at $200"
"-88.2404494","40.107032","9/09/2012","Theft","Valued at $400"
"-88.2584363","40.1319445","9/10/2012","Theft","Valued at $35"
"-88.2352272","40.1117625","9/09/2012","Theft","Valued at $150"
"-88.2352379","40.1118384","9/10/2012","Theft","Valued at $300"
"-88.2760584","40.1088332","9/12/2012","Theft","Valued at $600"
"-88.2320434","40.1231423","9/13/2012","Theft","Valued at $150"
"-88.2742721","40.1281465","9/11/2012","Theft","Valued at $400"
"-88.2312146","40.1154548","9/16/2012","Theft","Valued at $501"
"-88.2484263","40.1189254","9/17/2012","Theft","Valued at $100"
"-88.2469726","40.1100804","9/15/2012","Theft","Valued at $150"
"-88.233878","40.1185767","9/19/2012","Theft","Valued at $100"
"-88.2386738","40.1079182","9/19/2012","Theft","Valued at $501"
"-88.2559741","40.1181131","9/19/2012","Theft","Valued at $550"
"-88.2549334","40.1470935","9/20/2012","Theft","Valued at $500"
"-88.2742238","40.1274656","9/24/2012","Theft","Valued at $650"
"-88.241415","40.1175921","9/25/2012","Theft","Valued at $500"
"-88.2371101","40.1055898","9/25/2012","Theft","Valued at $100"
"-88.26011","40.0939424","9/26/2012","Theft","Valued at $1"
"-88.239398","40.1199673","9/24/2012","Theft","Valued at $300"
"-88.2381052","40.1041886","9/26/2012","Theft","Valued at $100"
"-88.2457066","40.1213374","9/26/2012","Theft","Valued at $130"
"-88.2469994","40.113703","9/27/2012","Theft","Valued at $529"
"-88.2339129","40.1130979","9/27/2012","Theft","Valued at $250"
"-88.238427","40.1124312","10/01/2012","Theft","Valued at $779"
"-88.2469833","40.1133995","10/03/2012","Theft","Valued at $580"
"-88.2374239","40.1065889","9/28/2012","Theft","Valued at $150"
"-88.2687253","40.1275354","10/03/2012","Theft","Valued at $200"
"-88.2375205","40.1091204","10/08/2012","Theft","Valued at $1"
"-88.2313943","40.1143184","10/09/2012","Theft","Valued at $1"
"-88.2436681","40.1215302","10/11/2012","Theft","Valued at $200"
"-88.2394463","40.1199509","10/13/2012","Theft","Valued at $200"
"-88.2471442","40.110064","10/19/2012","Theft","Valued at $1"
"-88.2436627","40.1214728","10/20/2012","Theft","Valued at $50"
"-88.2325047","40.1162712","10/22/2012","Theft","Valued at $400"
"-88.249982","40.1265633","10/22/2012","Theft","Valued at $300"
"-88.2413507","40.1158363","10/29/2012","Theft","Valued at $100"
"-88.2413828","40.1157789","10/30/2012","Theft","Valued at $125"
"-88.2815838","40.106355","11/01/2012","Theft","Valued at $400"
"-88.2481205","40.1183757","10/24/2012","Theft","Valued at $150"
"-88.2513821","40.1102937","10/26/2012","Theft","Valued at $220"
"-88.2515109","40.1103102","10/26/2012","Theft","Valued at $180"
"-88.2469296","40.1137153","11/02/2012","Theft","Valued at $300"
"-88.2298762","40.1054606","11/02/2012","Theft","Valued at $150"
"-88.2518595","40.1060309","11/02/2012","Theft","Valued at $200"
"-88.2363188","40.1101132","11/05/2012","Theft","Valued at $155"
"-88.2504594","40.0886443","10/25/2012","Theft","Valued at $150"
"-88.2348973","40.1080085","11/19/2012","Theft","Valued at $100"
"-88.2486409","40.1144087","11/21/2012","Theft","Valued at $1"
"-88.2914114","40.1105891","12/03/2012","Theft","Valued at $264"
"-88.251535","40.116144","12/08/2012","Theft","Valued at $150"
"-88.3030683","40.1096291","12/02/2012","Theft","Valued at $600"
"-88.2472408","40.110224","12/11/2012","Theft","Valued at $100"
"-88.2292914","40.1061909","11/29/2012","Theft","Valued at $100"
"-88.2465971","40.1160291","12/19/2012","Theft","Valued at $750"
"-88.2311368","40.1112456","12/14/2012","Theft","Valued at $250"
"-88.277083","40.1165624","12/30/2012","Theft","Valued at $330"
"-88.270635","40.1356644","1/09/2013","Theft","Valued at $130"
"-88.2432389","40.1104414","1/12/2013","Theft","Valued at $300"
"-88.2349563","40.1112784","1/16/2013","Theft","Valued at $2"
"-88.2556227","40.1181664","1/27/2013","Theft","Valued at $300"
"-88.2413158","40.1158138","1/29/2013","Theft","Valued at $150"
"-88.2652974","40.1273344","4/01/2013","Theft","Valued at $100"
"-88.2538658","40.1154097","3/31/2013","Theft","Valued at $450"
"-88.2354873","40.1298651","4/04/2013","Theft","Valued at $420"
"-88.2319307","40.1097317","4/06/2013","Theft","Valued at $500"
"-88.3020008","40.1079223","4/11/2013","Theft","Valued at $160"
"-88.2346237","40.1113194","4/17/2013","Theft","Valued at $80"
"-88.2922482","40.1049846","5/02/2013","Theft","Valued at $100"
"-88.2520956","40.1264812","5/06/2013","Theft","Valued at $100"
"-88.2452667","40.1093419","5/06/2013","Theft","Valued at $50"
"-88.2297099","40.1102158","5/10/2013","Theft","Valued at $600"
"-88.247155","40.1183921","5/12/2013","Theft","Valued at $150"
"-88.238824","40.1058791","5/03/2013","Theft","Valued at $200"
"-88.2538497","40.115184","5/17/2013","Theft","Valued at $400"
"-88.2515055","40.1142118","5/22/2013","Theft","Valued at $1"
"-88.237161","40.107352","5/22/2013","Theft","Valued at $200"
"-88.2380837","40.1080208","5/26/2013","Theft","Valued at $50"
"-88.2346988","40.1154835","5/28/2013","Theft","Valued at $100"
"-88.2346773","40.1048205","5/22/2013","Theft","Valued at $300"
"-88.2365549","40.1103225","5/29/2013","Theft","Valued at $100"
"-88.2569718","40.1212923","6/02/2013","Theft","Valued at $1059"
"-88.2569075","40.1213046","6/02/2013","Theft","Valued at $1287"
"-88.256827","40.1213087","6/02/2013","Theft","Valued at $500"
"-88.2452667","40.1091532","6/05/2013","Theft","Valued at $350"
"-88.2333201","40.110343","6/06/2013","Theft","Valued at $100"
"-88.2340229","40.1152415","6/06/2013","Theft","Valued at $250"
"-88.2332236","40.1127677","6/06/2013","Theft","Valued at $500"
"-88.2845396","40.0956987","6/05/2013","Theft","Valued at $97"
"-88.2846361","40.0957029","6/05/2013","Theft","Valued at $500"
"-88.284722","40.0957152","6/05/2013","Theft","Valued at $97"
"-88.2846361","40.0957029","6/05/2013","Theft","Valued at $300"
"-88.2421768","40.1162343","6/08/2013","Theft","Valued at $50"
"-88.2382017","40.1077869","6/09/2013","Theft","Valued at $50"
"-88.2352889","40.1265879","6/10/2013","Theft","Valued at $250"
"-88.2400954","40.1060678","6/08/2013","Theft","Valued at $600"
"-88.2330573","40.1142487","6/10/2013","Theft","Valued at $50"
"-88.2614565","40.1222727","6/10/2013","Theft","Valued at $150"
"-88.2382661","40.1077992","6/17/2013","Theft","Valued at $150"
"-88.2343125","40.106675","6/17/2013","Theft","Valued at $200"
"-88.266263","40.0958095","6/20/2013","Theft","Valued at $150"
"-88.2614672","40.1252835","6/20/2013","Theft","Valued at $150"
"-88.2316411","40.1152743","6/25/2013","Theft","Valued at $600"
"-88.2559258","40.096659","6/22/2013","Theft","Valued at $150"
"-88.2799208","40.0964251","6/20/2013","Theft","Valued at $500"
"-88.2310282","40.1125841","6/26/2013","Theft","Valued at $301"
"-88.2290393","40.1065725","6/28/2013","Theft","Valued at $125"
"-88.2494402","40.1193356","7/01/2013","Theft","Valued at $220"
"-88.2393658","40.1259972","6/30/2013","Theft","Valued at $100"
"-88.2738912","40.1302629","6/29/2013","Theft","Valued at $450"
"-88.2450736","40.1178588","7/02/2013","Theft","Valued at $300"
"-88.2393497","40.1112743","6/28/2013","Theft","Valued at $100"
"-88.239398","40.1199673","7/05/2013","Theft","Valued at $50"
"-88.2393229","40.1199837","7/05/2013","Theft","Valued at $50"
"-88.231051","40.111262","7/06/2013","Theft","Valued at $120"
"-88.2309792","40.1125856","7/08/2013","Theft","Valued at $100"
"-88.248421","40.1188515","7/11/2013","Theft","Valued at $150"
"-88.235364","40.1154138","6/13/2013","Theft","Valued at $200"
"-88.2404065","40.1768322","7/14/2013","Theft","Valued at $75"
"-88.2309169","40.1152907","7/12/2013","Theft","Valued at $150"
"-88.2931978","40.1232243","7/12/2013","Theft","Valued at $500"
"-88.2931656","40.1231915","7/12/2013","Theft","Valued at $100"
"-88.2449287","40.1144415","7/17/2013","Theft","Valued at $75"
"-88.2363296","40.1283598","7/14/2013","Theft","Valued at $75"
"-88.2323867","40.1113851","7/16/2013","Theft","Valued at $200"
"-88.2537639","40.1238396","7/18/2013","Theft","Valued at $200"
"-88.2346773","40.1047466","7/19/2013","Theft","Valued at $700"
"-88.2381535","40.106433","7/23/2013","Theft","Valued at $300"
"-88.2290339","40.1157707","7/23/2013","Theft","Valued at $300"
"-88.2792449","40.0941517","7/25/2013","Theft","Valued at $650"
"-88.2722497","40.1325023","7/30/2013","Theft","Valued at $150"
"-88.2400525","40.110105","7/30/2013","Theft","Valued at $350"
"-88.2739341","40.1313785","8/01/2013","Theft","Valued at $110"
"-88.249687","40.1212964","7/28/2013","Theft","Valued at $150"
"-88.3296061","40.0882544","8/01/2013","Theft","Valued at $300"
"-88.2712305","40.1305665","8/05/2013","Theft","Valued at $1"
"-88.2421553","40.117826","8/05/2013","Theft","Valued at $900"
"-88.2344037","40.1047302","7/22/2013","Theft","Valued at $250"
"-88.2458675","40.1102117","7/31/2013","Theft","Valued at $250"
"-88.2581037","40.1265715","8/07/2013","Theft","Valued at $40"
"-88.288976","40.0932899","8/07/2013","Theft","Valued at $450"
"-88.2302034","40.1154712","8/10/2013","Theft","Valued at $250"
"-88.2378101","40.1192207","7/01/2013","Theft","Valued at $125"
"-88.263157","40.0840845","8/12/2013","Theft","Valued at $100"
"-88.2469565","40.1205908","8/14/2013","Theft","Valued at $500"
"-88.2347256","40.1070525","8/15/2013","Theft","Valued at $1"
"-88.298707","40.1077008","8/17/2013","Theft","Valued at $50"
"-88.2348865","40.1055426","8/18/2013","Theft","Valued at $400"
"-88.2531953","40.1256157","8/18/2013","Theft","Valued at $300"
"-88.2482439","40.115422","8/23/2013","Theft","Valued at $600"
"-88.2383734","40.1101255","6/24/2013","Theft","Valued at $300"
"-88.2479596","40.1099737","8/26/2013","Theft","Valued at $1"
"-88.2295972","40.1103348","8/23/2013","Theft","Valued at $100"
"-88.2602978","40.1378996","8/25/2013","Theft","Valued at $220"
"-88.2607269","40.1451089","8/26/2013","Theft","Valued at $550"
"-88.2318771","40.1129359","8/25/2013","Theft","Valued at $100"
"-88.2483029","40.1139205","8/29/2013","Theft","Valued at $50"
"-88.2833219","40.0889562","8/30/2013","Theft","Valued at $100"
"-88.2399452","40.1090875","8/29/2013","Theft","Valued at $475"
"-88.2413077","40.115783","8/30/2013","Theft","Valued at $150"
"-88.2477021","40.1273836","9/01/2013","Theft","Valued at $200"
"-88.2881069","40.0957275","9/02/2013","Theft","Valued at $120"
"-88.2347631","40.1154958","9/02/2013","Theft","Valued at $200"
"-88.249231","40.1203119","8/30/2013","Theft","Valued at $150"
"-88.24009","40.1060104","9/03/2013","Theft","Valued at $450"
"-88.2581037","40.1265243","9/03/2013","Theft","Valued at $700"
"-88.2483405","40.113301","9/03/2013","Theft","Valued at $250"
"-88.2434106","40.1164886","9/05/2013","Theft","Valued at $100"
"-88.2347256","40.1070525","9/06/2013","Theft","Valued at $100"
"-88.2344654","40.1101809","8/31/2013","Theft","Valued at $500"
"-88.2355088","40.1150117","9/07/2013","Theft","Valued at $400"
"-88.2318181","40.1129441","9/06/2013","Theft","Valued at $700"
"-88.2322848","40.1120435","9/04/2013","Theft","Valued at $333"
"-88.2512587","40.109986","9/06/2013","Theft","Valued at $440"
"-88.2367051","40.1066586","9/07/2013","Theft","Valued at $689"
"-88.2368284","40.1113399","9/09/2013","Theft","Valued at $200"
"-88.2480025","40.0998228","9/08/2013","Theft","Valued at $499"
"-88.2744652","40.1275026","9/08/2013","Theft","Valued at $125"
"-88.2485712","40.1136087","9/12/2013","Theft","Valued at $1,100"
"-88.2504272","40.1273303","9/12/2013","Theft","Valued at $125"
"-88.2316142","40.1133789","9/13/2013","Theft","Valued at $180"
"-88.2337332","40.1120538","9/13/2013","Theft","Valued at $400"
"-88.2337278","40.1121318","9/15/2013","Theft","Valued at $450"
"-88.2385826","40.1118117","9/11/2013","Theft","Valued at $350"
"-88.2581145","40.1266576","9/18/2013","Theft","Valued at $300"
"-88.2296991","40.1136169","9/19/2013","Theft","Valued at $500"
"-88.255797","40.103848","9/20/2013","Theft","Valued at $700"
"-88.2648629","40.1407005","9/21/2013","Theft","Valued at $300"
"-88.2625991","40.1397778","9/27/2013","Theft","Valued at $200"
"-88.2393524","40.1199448","9/29/2013","Theft","Valued at $500"
"-88.2387757","40.1272154","10/01/2013","Theft","Valued at $50"
"-88.2387114","40.1272154","10/01/2013","Theft","Valued at $100"
"-88.289212","40.0787528","10/01/2013","Theft","Valued at $389"
"-88.2399988","40.1101214","10/02/2013","Theft","Valued at $1"
"-88.2475144","40.114261","9/27/2013","Theft","Valued at $150"
"-88.2348838","40.1127615","10/02/2013","Theft","Valued at $95"
"-88.2493651","40.097771","10/03/2013","Theft","Valued at $350"
"-88.2382661","40.1133441","9/04/2013","Theft","Valued at $250"
"-88.2482117","40.1090752","10/01/2013","Theft","Valued at $150"
"-88.2315981","40.1113358","10/01/2013","Theft","Valued at $300"
"-88.2388347","40.1060514","10/04/2013","Theft","Valued at $280"
"-88.2308686","40.1152928","10/04/2013","Theft","Valued at $130"
"-88.2699135","40.1030336","10/03/2013","Theft","Valued at $75"
"-88.2503253","40.1072864","10/06/2013","Theft","Valued at $450"
"-88.2368016","40.1133297","10/11/2013","Theft","Valued at $450"
"-88.2362866","40.1052677","10/11/2013","Theft","Valued at $500"
"-88.2384968","40.104603","10/13/2013","Theft","Valued at $1"
"-88.2385021","40.1045251","10/13/2013","Theft","Valued at $50"
"-88.2470798","40.1101255","9/26/2013","Theft","Valued at $300"
"-88.2363698","40.1133471","10/11/2013","Theft","Valued at $240"
"-88.2597828","40.1308946","10/13/2013","Theft","Valued at $600"
"-88.2770187","40.1127512","10/14/2013","Theft","Valued at $500"
"-88.2380086","40.111543","10/16/2013","Theft","Valued at $500"
"-88.2297313","40.115303","10/17/2013","Theft","Valued at $150"
"-88.2538229","40.1151963","10/05/2013","Theft","Valued at $200"
"-88.2539007","40.1151881","10/05/2013","Theft","Valued at $200"
"-88.2538766","40.1151738","10/05/2013","Theft","Valued at $350"
"-88.2363081","40.1133584","10/11/2013","Theft","Valued at $200"
"-88.2327917","40.1143225","10/20/2013","Theft","Valued at $560"
"-88.264364","40.1203693","10/21/2013","Theft","Valued at $400"
"-88.2311475","40.1143471","10/23/2013","Theft","Valued at $290"
"-88.2617033","40.1091409","10/23/2013","Theft","Valued at $50"
"-88.2634413","40.0872817","10/25/2013","Theft","Valued at $1200"
"-88.2315445","40.1113461","10/23/2013","Theft","Valued at $50"
"-88.2347041","40.1070494","11/02/2013","Theft","Valued at $100"
"-88.2468814","40.1078115","11/04/2013","Theft","Valued at $850"
"-88.2468867","40.1077746","11/04/2013","Theft","Valued at $700"
"-88.2438719","40.1428125","11/03/2013","Theft","Valued at $500"
"-88.2343099","40.1064801","11/01/2013","Theft","Valued at $2500"
